name,duration(s),label,notes,spectral slope,spectral roll off,F0,pitch range,max_jump,jitter,shimmer,energy,max intensity,intensity,harmocity,thoughts spectral,speaker,clean_label,clip index
full,6.678390023,1,close to raising voice,-0.000541969,977.9634565,145.9868278,514.9937166,1.356401031,0.033818623,0.210968909,0.000451959,83.77656225,52.60861196,3.569504017,0,0.0,1,1
full,3.931995465,1,0,-0.000835404,1983.458891,188.139169,487.768537,0.907680232,0.014194072,0.159614294,0.000700243,89.07517509,56.83213858,4.851773374,0,0.0,1,2
full,2.80138322,1,mostly a glass break,-0.00073974,3904.253472,164.64601,443.5111852,1.079798474,0.026170931,0.177316371,0.002822475,99.83004522,64.3890744,-0.489960914,0,0.0,1,3
full,6.993628118,1,all husband,-0.000107587,1233.966793,127.0593406,524.8726832,0.728247029,0.02775618,0.201585923,9.57e-05,77.50951502,45.66905577,2.176846874,0,0.0,1,4
full,5.262653061,2,breaking glass,-0.00460696,1661.905732,347.0991601,463.4819363,1.100387648,0.040732985,0.233301357,0.003752453,96.73657252,62.79188321,1.773998429,0,0.0,1,5
full,8.809433107,3,both screaming,-0.003948475,1077.169878,477.6258379,483.4638548,0.915333607,0.03572804,0.214590657,0.004965355,94.62178386,61.86713403,4.197022869,0,0.0,3,6
full,8.379229025,3.0,only wife,-0.002784431,883.2462044,413.758525,525.0240082,0.546133184,0.064482157,0.190585445,0.002907959,91.53685044,59.82447962,2.620409994,0,0.0,3,7
full,7.203673469,3.0,"both, him not has high level as her",-0.002992554,848.2799299,346.1465345,497.3659944,0.66975877,0.064030673,0.186595655,0.002636791,94.58269774,59.91465873,3.966896327,0,0.0,3,8
full,8.564353741,3,"both, him not has high level as her",-0.001863263,870.6745114,385.4007401,524.6097215,1.161725219,0.030073615,0.204438749,0.002200005,89.75183164,58.46887028,3.328418173,0,0.0,1,9
full,5.946598639,3,"both, him not has high level as her",-0.006877505,954.9358376,378.1612658,523.6791669,2.330085766,0.048390844,0.19169259,0.006245524,101.4985731,64.54964611,2.888138328,0,0.0,3,10
full,3.501746032,3.0,mostly wife,-0.005146572,1974.381742,160.0106567,520.0162489,1.070548262,0.026815817,0.171239676,0.002604841,95.46385826,63.11554485,2.610361016,0,0.0,3,11
full,7.969024943,1,both,-0.000156475,1338.457612,204.4021002,524.3874277,0.586167517,0.031042455,0.200318406,0.000165663,79.16524089,47.47868259,3.113783275,0,0.0,1,12
full,3.461723356,1,both,-7.78e-05,1196.635075,147.4809294,511.4335717,0.431394981,0.026461414,0.192357018,3.7e-05,75.83641663,44.61031485,2.852509528,0,0.0,1,13
full,7.458730159,1,both,-7.73e-05,1261.732631,470.8066266,525.0398024,0.614497988,0.030939947,0.210740743,8.33e-05,76.08111226,44.8094958,3.679795622,0,0.0,1,14
full,1.875941043,2,husband,-0.000498392,1053.478115,197.2075304,448.2371439,0.419070512,0.019423864,0.132498072,0.000137216,84.2755583,53.01341182,5.62358557,0,0.0,2,15
full,2.646349206,1,wife,-0.000156126,929.6805904,249.9290844,524.9629987,1.198958044,0.055399734,0.210857195,5.06e-05,79.26033984,47.19822375,5.254801455,0,0.0,1,16
full,3.081519274,1,both,-8.85e-05,1583.488186,80.3835825,524.9366739,0.413733093,0.018416621,0.189665151,4.81e-05,76.99103672,46.23460306,3.991445577,0,0.0,1,17
full,3.266689342,1,both,-5.6e-05,1213.703185,159.1023059,524.8183728,1.346605528,0.041482433,0.168053637,2.37e-05,74.89644687,42.98384519,4.436095086,0,0.0,1,18
